标志,ID,人物,位置,内容,跳转
^,0,4,,（唐背景图）,1
#,1,你,左,哇！好繁华！,2
#,2,大喵,右,欢迎来到唐朝！,3
#,3,大喵,右,开元盛世，丝路驼铃载来波斯琉璃，胡商云集长安西市。,4
#,4,大喵,右,终南山下，丹炉青烟袅袅，硫磺与硝石在方士的坩埚中碰撞出惊雷,5
#,5,大喵,右,——这是属于火药的传奇开端。,6
#,6,大喵,右,你本次的使命是,7
#,7,大喵,右,作为药王孙思邈的炼丹童子，辅助其完成火药的炼制,8
#,8,孙思邈,右,云硝，你过来。,9
#,9,大喵,右,别发呆了，叫你呢！,10
#,10,你,左,（惊觉）哦哦哦哦哦（跑上前）师父有什么吩咐,11
#,11,孙思邈,右,云硝，近日炉中异象频生,12
#,12,孙思邈,右,——硝砂合炼之际，竟有霹雳之声，青烟化赤焰！,13
#,13,孙思邈,右,此非寻常伏火之兆，恐是《黄帝九鼎神丹经》中所载‘震天髓’现世…,14
#,14,孙思邈,右,（从袖中取出一卷焦黄绢帛）,15
#,15,孙思邈,右,速去药库择选：岭南的紫晶硫黄，蜀中地霜，终南雷击木炭,16
#,16,你,左,弟子这就去办！,17
END,,,,,
